,Year,Length,Title,Genre,Actor,Actress,Director,Popularity,Awards,Image
831,1962,119,Rome Adventure,Drama,"Donahue, Tony","Pleshette, Suzanne","Daves, Delmer",39,No,"NicholasCage.png,,"
832,1992,121,Drowning by Numbers,Mystery,"Hill, Bernard","Plowright, Joan","Greenaway, Peter",28,No,"NicholasCage.png,,"
833,1991,88,Born to Ride,Action,"Stamos, John","Polo, Teri","Baker, Graham",59,No,"NicholasCage.png,,"
834,1988,94,Her Alibi,Comedy,"Selleck, Tom","Porizkova, Paulina","Beresford, Bruce",80,No,"NicholasCage.png,,"
835,1990,95,Dangerous Pursuit,Mystery,"Harrison, Gregory","Powers, Alexandra","Stern, Sandor",88,No,"NicholasCage.png,,"
836,1962,123,Experiment in Terror,Mystery,"Ford, Glenn","Powers, Stefanie","Edwards, Blake",77,No,"glennFord.png,,"
837,1972,105,"Hideaways, The",Comedy,"Doran, Johnny","Prager, Sally","Cook, Fielder",42,No,"NicholasCage.png,"
838,1965,108,What's New Pussycat,Comedy,"O'Toole, Peter","Prentiss, Paula","Donner, Clive",83,No,"NicholasCage.png,,"
839,1965,108,What's New Pussycat?,Comedy,"Sellers, Peter","Prentiss, Paula","Donner, Clive",46,No,"NicholasCage.png,,"
840,1983,98,Packin' It In,Comedy,"Benjamin, Richard","Prentiss, Paula","Taylor, Jud",8,No,"NicholasCage.png,,"
841,1988,90,"Naked Gun: From the Files of Police Squad!, THe",Comedy,"Nielsen, Leslie","Presley, Priscilla","Zucker, David",9,No,"NicholasCage.png,"
842,1990,106,In Too Deep,Drama,"Race, Hugo","Press, Santha","Tatoulis, Colin South, John",50,No,"NicholasCage.png,"
843,1988,107,Twins,Comedy,"Schwarzenegger, Arnold","Preston, Kelly","Reitman, Ivan",23,No,"NicholasCage.png,,"
844,1988,94,"Experts, The",Comedy,"Travolta, John","Preston, Kelly","Thomas, Dave",67,No,"NicholasCage.png,"
845,1989,94,Naked Lie,Drama,"Lucking, William","Principal, Victoria","Colla, Richard A.",7,No,"NicholasCage.png,,"
846,1987,87,Mistress,Drama,"Rachins, Allan","Principal, Victoria","Tuchner, Michael",36,No,"NicholasCage.png,,"
847,1970,100,Adam at 6 A.M.,Drama,"Douglas, Michael","Purcell, Lee","Scheerer, Robert",3,No,"NicholasCage.png,,"
848,1990,93,Web of Deceit,Drama,"Read, James","Purl, Linda","Stern, Sandor",6,No,"NicholasCage.png,,"
849,1991,119,New York Stories,Comedy,"Allen, Woody","Questel, Mae","Coppola, Francis Ford",6,No,"NicholasCage.png,,"
850,1987,97,"Dreams Lost, Dreams Found",Drama,"Robb, David","Quinlan, Kathleen","Patterson, Willi",66,No,"NicholasCage.png,"
851,1987,103,Au Revoir les Enfants,Drama,"Manesse, Gaspard","Racette, Francine","Malle, Louis",35,No,"NicholasCage.png,,"
852,1989,122,Quo Vadis,Drama,"Brandauer, Klaus Maria","Raines, Cristina","Rossi, Franco",6,No,"NicholasCage.png,,"
853,1949,100,"Fighting Kentuckian, The",Action,"Wayne, John","Ralston, Vera","Waggner, George",74,No,"johnWayne.png,"
854,1974,104,Zardoz,Science Fiction,"Connery, Sean","Rampling, Charlotte","Boorman, John",6,No,"seanConnery.png,,"
855,1989,84,Police Academy 6: City under Siege,Comedy,"Smith, Bubba","Ramsey, Marion","Bonerz, Peter",29,No,"NicholasCage.png,,"
856,1988,90,Police Academy 5: Assignment Miami Beach,Comedy,"Gaynes, George","Ramsey, Marion","Myerson, Alan",59,No,"NicholasCage.png,,"
857,1986,84,Police Academy 3: Back in Training,Comedy,"Guttenberg, Steve","Ramsey, Marion","Paris, Jerry",6,No,"NicholasCage.png,,"
858,1991,60,"America's Music, Blues",Music,"Hopkins, Linda","Redd, Vi","Walton, Kip",54,No,"NicholasCage.png,"
859,1977,100,Julia,Drama,"Fonda, Vanessa","Redgrave, Jane","Zinnemann, Fred",75,Yes,"NicholasCage.png,,"
860,1971,111,"Devils, The",Drama,"Reed, Oliver","Redgrave, Vanessa","Russell, Ken",69,No,"NicholasCage.png,"
861,1984,90,Ransom,Drama,"Ford, Glenn","Reed, Donna","Segal, Alex",73,No,"glennFord.png,,"
862,1990,97,Cadillac Man,Comedy,"Williams, Robin","Reed, Pamela","Donaldson, Roger",28,No,"NicholasCage.png,,"
863,1986,104,"Best of Times, The",Comedy,"Williams, Robin","Reed, Pamela","Spottiswoode, Roger",88,No,"NicholasCage.png,"
864,1985,135,Death of a Salesman,Drama,"Hoffman, Dustin","Reid, Kate","Schl�ndorff, Volker",13,No,"NicholasCage.png,,"
865,1987,153,Empire of the Sun,Drama,"Malkovich, John","Richardson, Miranda","Spielberg, Steven",6,No,"NicholasCage.png,,"
866,1991,102,"Comfort of Strangers, The",Mystery,"Walken, Christopher","Richardson, Natasha","Schrader, Paul",5,No,"NicholasCage.png,"
867,1969,135,On Her Majesty's Secret Service,Action,"Lazenby, George","Rigg, Diana","Hunt, Peter R.",66,No,"NicholasCage.png,,"
868,1986,96,Pretty in Pink,Drama,"Stanton, Harry Dean","Ringwald, Molly","Deutch, Howard",75,No,"NicholasCage.png,,"
869,1943,60,"Lone Star Trail, The",Western,"Brown, Johnny Mack","Ritter, Tex","Taylor, Ray",27,No,"NicholasCage.png,"
870,1986,98,Summer,Comedy,"Gauthier, Vincent","Riviere, Marie","Rohmer, Eric",11,No,"NicholasCage.png,,"
871,1987,93,"Planes, Trains & Automobiles",Comedy,"Martin, Steve","Robbins, Laila","Hughes, John",73,No,"NicholasCage.png,"
872,1990,119,Pretty Woman,Comedy,"Gere, Richard","Roberts, Julia","Marshall, Garry",43,No,"NicholasCage.png,,"
873,1991,111,Flatliners,Drama,"Sutherland, Kiefer","Roberts, Julia","Schumacher, Joel",19,No,"NicholasCage.png,,"
874,1991,142,Hook,Action,"Williams, Robin","Roberts, Julia","Spielberg, Steven",4,No,"NicholasCage.png,,"
875,1940,56,Riders of Pasco Basin,Western,"Brown, Johnny Mack","Robinson, Frances","Taylor, Ray",17,No,"NicholasCage.png,,"
876,1990,106,Desperate Hours,Mystery,"Rourke, Mickey","Rogers, Mimi","Cimino, Michael",58,No,"NicholasCage.png,,"
877,1986,111,Gung Ho,Comedy,"Keaton, Michael","Rogers, Mimi","Howard, Ron",59,No,"NicholasCage.png,,"
878,1992,96,Shooting Elizabeth,Mystery,"Goldblum, Jeff","Rogers, Mimi","Taylor, Baz",5,No,"NicholasCage.png,,"
879,1951,101,Strangers on a Train,Mystery,"Granger, Farley","Roman, Ruth","Hitchcock, Alfred",17,No,"alfredHitchcock.png,,"
880,1979,198,"Sacketts, The",Western,"Elliott, Sam","Roman, Ruth","Totten, Robert",86,No,"NicholasCage.png,"
881,1991,87,To Die Standing,Action,"De Young, Cliff","Rose, Jamie","Morneau, Louis",53,No,"NicholasCage.png,,"
882,1980,92,Rodeo Girl,Drama,"Hopkins, Bo","Ross, Katharine","Cooper, Jackie",80,No,"NicholasCage.png,,"
883,1969,110,Butch Cassidy & the Sundance Kid,Western,"Newman, Paul","Ross, Katharine","Hill, George Roy",29,Yes,"paulNewman.png,,"
884,1968,121,Hellfighters,Action,"Wayne, John","Ross, Katharine","McLaglen, Andrew V.",22,No,"johnWayne.png,,"
885,1980,92,"Final Countdown, The",Action,"Douglas, Kirk","Ross, Katharine","Taylor, Don",35,No,"NicholasCage.png,"
886,1986,120,Blue Velvet,Mystery,"MacLachlan, Kyle","Rossellini, Isabella","Lynch, David",6,No,"lynch.png,,"
887,1976,90,Black & White in Color,Comedy,"Carmet, Jean","Rouvel, Catherine","Annaud, Jean-Jacques",24,Yes,"NicholasCage.png,,"
888,1988,81,Another Woman,Drama,"Hackman, Gene","Rowlands, Gena","Allen, Woody",7,No,"woody.png,,"
889,1992,128,Night on Earth,Drama,"Benigni, Roberto","Rowlands, Gena","Jarmusch, Jim",24,No,"NicholasCage.png,,"
890,1988,92,Permanent Record,Drama,"Boyce, Alan","Rubin, Jennifer","Silver, Marisa",42,No,"NicholasCage.png,,"
891,1992,138,"Fisher King, The",Drama,"Williams, Robin","Ruehl, Mercedes","Gilliam, Terry",8,Yes,"NicholasCage.png,"
892,1991,98,Another You,Comedy,"Pryor, Richard","Ruehl, Mercedes","Phillips, Maurice",75,No,"NicholasCage.png,,"
893,1958,167,"Young Lions, The",Drama,"Brando, Marlon","Rush, Barbara","Dmytryk, Edward",10,No,"NicholasCage.png,"
894,1988,89,Cheerleader Camp,Horror,"Garrett, Leif","Russell, Betsy","Quinn, John",79,No,"NicholasCage.png,,"
895,1947,96,Angel & the Badman,Western,"Wayne, John","Russell, Gail","Grant, James Edward",84,No,"johnWayne.png,,"
896,1990,109,Impulse,Mystery,"Fahey, Jeff","Russell, Theresa","Locke, Sondra",23,No,"NicholasCage.png,,"
897,1988,91,Track Twenty-Nine,Drama,"Oldman, Gary","Russell, Theresa","Roeg, Nicolas",48,No,"NicholasCage.png,,"
898,1991,110,Freejack,Action,"Estevez, Emilio","Russo, Rene","Richardson, Tony",26,No,"NicholasCage.png,,"
899,1988,81,"Smallest Show on Earth, The",Comedy,"Sellers, Peter","Rutherford, Margaret","Dearden, Basil",24,No,"NicholasCage.png,"
900,1987,120,Innerspace,Science Fiction,"Quaid, Dennis","Ryan, Meg","Dante, Joe",41,No,"NicholasCage.png,,"
901,1988,97,"Presidio, The",Action,"Connery, Sean","Ryan, Meg","Hyams, Peter",4,No,"seanConnery.png,"
902,1990,102,Joe Versus the Volcano,Comedy,"Hanks, Tom","Ryan, Meg","Patrick, John",17,No,"NicholasCage.png,,"
903,1991,135,"Doors, The",Drama,"Kilmer, Val","Ryan, Meg","Stone, Oliver",60,No,"NicholasCage.png,"
904,1990,98,"Welcome Home, Roxy Carmichael",Comedy,"Daniels, Jeff","Ryder, Winona","Abrahams, Jim",41,No,"NicholasCage.png,"
905,1972,99,Cancel My Reservation,Comedy,"Hope, Bob","Saint, Eva Marie","Bogart, Paul",60,No,"NicholasCage.png,,"
906,1991,135,North by Northwest,Mystery,"Grant, Cary","Saint, Eva Marie","Hitchcock, Alfred",20,No,"alfredHitchcock.png,,"
907,1966,127,"Russians Are Coming, the Russians Are, The",Comedy,"Reiner, Carl","Saint, Eva Marie","Jewison, Norman",79,Yes,NicholasCage.png
908,1992,213,Exodus,Drama,"Newman, Paul","Saint, Eva Marie","Preminger, Otto",13,No,"paulNewman.png,,"
909,1982,128,"Ballad of Narayama, The",Drama,"Ogata, Ken","Sakamoto, Sumiko","Imamura, Shohei",88,No,"NicholasCage.png,"
910,1985,96,Out of the Darkness,Mystery,"Sheen, Martin","Salt, Jennifer","Taylor, Jud",86,No,"NicholasCage.png,,"
911,1971,90,"Garden of the Finzi-Continis, The",Drama,"Capolicchio, Lino","Sanda, Dominique","De Sica, Vittorio",42,Yes,"NicholasCage.png,"
912,1974,105,Steppenwolf,Drama,"Sydow, Max von","Sanda, Dominique","Haines, Fred",20,No,"NicholasCage.png,,"
913,1973,100,"Mackintosh Man, The",Action,"Newman, Paul","Sanda, Dominique","Huston, John",65,No,"paulNewman.png,"
914,1968,105,Partner,Drama,"Clementi, Pierre","Sandrelli, Stefania","Bertolucci, Bernardo",26,No,"NicholasCage.png,,"
915,1970,107,"Conformist, The",Drama,"Trintignant, Jean-Louis","Sandrelli, Stefania","Bertolucci, Bernardo",72,No,"NicholasCage.png,"
916,1971,102,Dirty Harry,Drama,"Eastwood, Clint","Santoni, Reni","Siegel, Don",72,No,"clintEastwood.png,,"
917,1986,103,Ferris Bueller's Day Off,Comedy,"Broderick, Matthew","Sara, Mia","Hughes, John",12,No,"NicholasCage.png,,"
918,1986,89,Legend,Science Fiction,"Cruise, Tom","Sara, Mia","Scott, Ridley",42,No,"NicholasCage.png,,"
919,1984,110,"Buddy System, The",Drama,"Dreyfuss, Richard","Sarandon, Susan","Jordan, Glenn",48,No,"NicholasCage.png,"
920,1989,97,A Dry White Season,Drama,"Sutherland, Donald","Sarandon, Susan","Palcy, Euzhan",71,No,"NicholasCage.png,,"
921,1975,105,"Rocky Horror Picture Show, The",Music,"Gray, Charles","Sarandon, Susan","Sharman, Jim",59,No,"NicholasCage.png,"
922,1968,360,War & Peace,Drama,"Tikhonov, Vyacheslav","Savelyeva, Lyudmila","Bondarchuk, Sergei",80,Yes,"NicholasCage.png,,"
923,1991,80,Going Under,Comedy,"Pullman, Bill","Schaal, Wendy","Travis, Mark W.",30,No,"NicholasCage.png,,"
924,1975,118,"Passenger, The",Drama,"Nicholson, Jack","Schneider, Maria","Antonioni, Michelangelo",32,No,"JackNicholson.png,"
925,1973,127,Last Tango in Paris,Drama,"Brando, Marlon","Schneider, Maria","Bertolucci, Bernardo",28,No,"brando.png,,"
926,1987,155,Indigo Autumn & Lilac Dream,Drama,"Singer, Marc","Schrage, Lisa","Gillard, Stuart",72,No,"NicholasCage.png,,"
927,1924,95,"Kriemhild's Revenge, The Nibelungenlied",Drama,"Loos, Theodor","Sch�n, Margarete","Lang, Fritz",74,No,"NicholasCage.png,"
928,1966,102,Johnny Tiger,Drama,"Taylor, Robert","Scott, Brenda","Wendkos, Paul",69,No,"NicholasCage.png,,"
929,1986,90,Head Office,Comedy,"Reinhold, Judge","Seymour, Jane","Finkleman, Ken",88,No,"NicholasCage.png,,"
930,1972,100,Le Charme Discret de la Bourgeoisie,Comedy,"Rey, Fernando","Seyrig, Delphine","Bunuel, Luis",4,Yes,"NicholasCage.png,,"
931,1986,83,Blue City,Action,"Nelson, Judd","Sheedy, Ally","Manning, Michelle",38,No,"NicholasCage.png,,"
932,1983,123,Bad Boys,Drama,"Penn, Sean","Sheedy, Ally","Rosenthal, Rick",7,No,"NicholasCage.png,,"
933,1986,82,"Whoopee Boys, The",Comedy,"O'Keefe, Michael","Shelley, Carole","Byrum, John",54,No,"NicholasCage.png,"
934,1971,118,"Last Picture Show, The",Drama,"Bottoms, Timothy","Shepherd, Cybill","Bogdanovich, Peter",62,Yes,"NicholasCage.png,"
935,1988,93,"Diamond Trap, The",Drama,"Hessman, Howard","Shields, Brooke","Taylor, Don",58,No,"NicholasCage.png,"
936,1981,115,Endless Love,Drama,"Hewitt, Martin","Shields, Brooke","Zeffirelli, Franco",20,No,"NicholasCage.png,,"
937,1976,90,Rocky,Drama,"Stallone, Sylvester","Shire, Talia","Avildsen, John G.",78,Yes,"NicholasCage.png,,"
938,1988,103,Cocktail,Drama,"Cruise, Tom","Shue, Elisabeth","Donaldson, Roger",13,No,"NicholasCage.png,,"
939,1936,77,Sabotage,Mystery,"Homolka, Oskar","Sidney, Sylvia","Hitchcock, Alfred",74,No,"alfredHitchcock.png,,"
940,1977,105,Madame Rosa,Drama,"Youb, Samy Ben","Signoret, Simone","Mizrahi, Moshe",11,Yes,"NicholasCage.png,,"
941,1954,110,Desiree,Drama,"Brando, Marlon","Simmons, Jean","Koster, Henry",22,No,"brando.png,,"
942,1960,185,Spartacus,Drama,"Douglas, Kirk","Simmons, Jean","Kubrick, Stanley",67,Yes,"NicholasCage.png,,"
943,1955,150,Guys & Dolls,Comedy,"Brando, Marlon","Simmons, Jean","Mankiewicz, Joseph L.",70,Yes,"brando.png,,"
944,1992,95,Until They Sail,Drama,"Newman, Paul","Simmons, Jean","Wise, Robert",77,No,"paulNewman.png,,"
945,1988,116,Coming to America,Comedy,"Murphy, Eddie","Sinclair, Madge","Landis, John",11,No,"NicholasCage.png,,"
946,1963,93,Lilies of the Field,Drama,"Poitier, Sidney","Skala, Lilia","Poitier, Sidney",36,Yes,"NicholasCage.png,,"
947,1987,99,River's Edge,Drama,"Glover, Crispin","Skye, Ione","Hunter, Tim",3,No,"NicholasCage.png,,"
948,1986,93,Ruthless People,Comedy,"DeVito, Danny","Slater, Helen","Abrahams, Jim",84,No,"NicholasCage.png,,"
949,1987,110,"Secret of My Success, The",Comedy,"Fox, Michael J.","Slater, Helen","Ross, Herbert",5,No,"NicholasCage.png,"
950,1965,128,"Shop on Main Street, The",Drama,"Kroner, Josef","Slivoka, Hana","Kadar, Jan",37,Yes,"NicholasCage.png,"
951,1988,101,Funny Farm,Comedy,"Chase, Chevy","Smith, Madolyn","Hill, George Roy",30,No,"NicholasCage.png,,"
952,1988,120,"Lonely Passion of Judith Hearne, The",Drama,"Hoskins, Bob","Smith, Maggie","Clayton, Jack",24,No,"NicholasCage.png,"
953,1978,103,California Suite,Comedy,"Caine, Michael","Smith, Maggie","Ross, Herbert",11,Yes,"NicholasCage.png,,"
954,1986,97,Maximum Overdrive,Horror,"Estevez, Emilio","Smith, Yeardley","King, Stephen",40,No,"NicholasCage.png,,"
955,1985,116,Pale Rider,Western,"Eastwood, Clint","Snodgress, Carrie","Eastwood, Clint",45,No,"clintEastwood.png,,"
956,1990,88,"Kissing Place, The",Drama,"Birney, Meredith Baxter","Snow, Victoria","Wharmby, Tony",41,No,"NicholasCage.png,"
957,1986,90,French Lesson,Comedy,"Sterling, Alexandre","Snowden, Jane","Gilbert, Brian",29,No,"NicholasCage.png,,"
958,1985,88,Roller Blade,Action,"Hutchinson, Jeff","Solari, Suzanne","Jackson, Donald G",31,No,"NicholasCage.png,,"
959,1964,101,A Shot in the Dark,Comedy,"Sellers, Peter","Sommer, Elke","Edwards, Blake",51,No,"NicholasCage.png,,"
960,1982,122,Missing,Drama,"Lemmon, Jack","Spacek, Sissy",Costa-Gavras,30,No,"NicholasCage.png,,,"
961,1989,99,Picasso Trigger,Action,"Bond, Steve","Speir, Dona","Sidaris, Andy",20,No,"NicholasCage.png,,"
962,1987,97,Hard Ticket to Hawaii,Action,"Moss, Ronn","Speir, Dona","Sidaris, Andy",36,No,"NicholasCage.png,,"
963,1933,72,Baby Face,Drama,"Brent, George","Stanwyck, Barbara","Green, Alfred E.",66,No,"NicholasCage.png,,"
964,1992,95,"Violent Men, The",Action,"Ford, Glenn","Stanwyck, Barbara","Mate, Rudolph",25,No,"glennFord.png,"
965,1985,117,Cocoon,Science Fiction,"Ameche, Don","Stapleton, Maureen","Howard, Ron",45,Yes,"NicholasCage.png,,"
966,1986,96,Clockwise,Comedy,"Cleese, John","Steadman, Alison","Morahan, Christopher",10,No,"NicholasCage.png,,"
967,1981,111,Outland,Science Fiction,"Connery, Sean","Sternhagen, Frances","Hyams, Peter",7,No,"seanConnery.png,,"
968,1967,114,Hang 'em High,Western,"Eastwood, Clint","Stevens, Inger","Post, Ted",67,No,"clintEastwood.png,,"
969,1992,123,Basic Instinct,Mystery,"Douglas, Michael","Stone, Sharon","Verhoeven, Paul",41,No,"NicholasCage.png,,"
970,1990,113,Total Recall,Action,"Schwarzenegger, Arnold","Stone, Sharon","Verhoeven, Paul",8,No,"NicholasCage.png,,"
971,1987,115,Stakeout,Comedy,"Dreyfuss, Richard","Stowe, Madeleine","Badham, John",13,No,"NicholasCage.png,,"
972,1992,104,"Unnamable II, The Statement of Randolph Carter, The",Drama,"Rhys-Davies, John","Strain, Julie","Ouellette, Jean-Paul",36,No,NicholasCage.png
973,1967,85,"Trip, The",Drama,"Fonda, Peter","Strasberg, Susan","Corman, Roger",64,No,"NicholasCage.png,"
974,1987,135,Ironweed,Drama,"Nicholson, Jack","Streep, Meryl","Babenco, Hector",32,No,"merylStreep.png,,"
975,1991,112,Defending Your Life,Comedy,"Brooks, Albert","Streep, Meryl","Brooks, Albert",75,No,"merylStreep.png,,"
976,1978,183,"Deer Hunter, The",Drama,"De Niro, Robert","Streep, Meryl","Cimino, Michael",82,Yes,"merylStreep.png,"
977,1984,106,Falling in Love,Drama,"De Niro, Robert","Streep, Meryl","Grosbard, Ulu",31,No,"merylStreep.png,,"
978,1986,108,Heartburn,Comedy,"Nicholson, Jack","Streep, Meryl","Nichols, Mike",57,No,"JackNicholson.png,,"
979,1983,131,Silkwood,Drama,"Russell, Kurt","Streep, Meryl","Nichols, Mike",52,No,"merylStreep.png,,"
980,1982,151,Sophie's Choice,Drama,"Kline, Kevin","Streep, Meryl","Pakula, Alan J.",64,Yes,"merylStreep.png,,"
981,1985,161,Out of Africa,Drama,"Redford, Robert","Streep, Meryl","Pollack, Sydney",88,Yes,"merylStreep.png,,"
982,1981,127,"French Lieutenant's Woman, The",Drama,"Irons, Jeremy","Streep, Meryl","Reisz, Karel",37,No,"merylStreep.png,"
983,1985,124,Plenty,Drama,"Dance, Charles","Streep, Meryl","Schepisi, Fred",9,No,"merylStreep.png,,"
984,1988,122,A Cry in the Dark,Drama,"Neill, Sam","Streep, Meryl","Schepisi, Fred",67,No,"merylStreep.png,,"
985,1989,99,She-Devil,Comedy,"Begley, Ed, Jr.","Streep, Meryl","Seidelman, Susan",43,No,"merylStreep.png,"
986,1992,103,Death Becomes Her,Drama,"Willis, Bruce","Streep, Meryl","Zemeckis, Robert",61,No,"merylStreep.png,,"
987,1970,129,On a Clear Day You Can See Forever,Music,"Montand, Yves","Streisand, Barbra","Minnelli, Vincente",67,No,"NicholasCage.png,,"
988,1987,100,Nuts,Drama,"Dreyfuss, Richard","Streisand, Barbra","Ritt, Martin",52,No,"NicholasCage.png,,"
989,1983,134,Yentl,Music,"Patinkin, Mandy","Streisand, Barbra","Streisand, Barbra",46,No,"NicholasCage.png,,"
990,1968,151,Funny Girl,Music,"Sharif, Omar","Streisand, Barbra","Wyler, William",30,Yes,"NicholasCage.png,,"
991,1990,97,Fellow Traveller,Drama,"Travanti, Daniel J.","Stubbs, Imogen","Towns, Philip Saville",39,No,"NicholasCage.png,,"
992,1970,140,Dodesukaden,Drama,"Zushi, Yoshitaka","Sugai, Kin","Kurosawa, Akira",75,No,"NicholasCage.png,,"
993,1941,117,So Ends Our Night,Drama,"March, Fredric","Sullavan, Margaret","Cromwell, John",2,No,"NicholasCage.png,,"
994,1984,102,Sword of the Valiant,Action,"O'Keeffe, Miles","Sutton, Emma","Weeks, Stephen",5,No,"NicholasCage.png,,"
995,1949,78,"Devil's Wanton, The",Drama,"Malmsten, Birger","Svedlund, Doris","Bergman, Ingmar",66,No,"Bergman.png,"
996,1989,99,Driving Miss Daisy,Drama,"Freeman, Morgan","Tandy, Jessica","Beresford, Bruce",6,Yes,"NicholasCage.png,,"
997,1983,105,Between Friends,Drama,"Ramer, Henry","Taylor, Elizabeth","Antonio, Lou",54,No,"elizabethTaylor.png,,"
998,1957,173,Raintree County,Drama,"Clift, Montgomery","Taylor, Elizabeth","Dmytryk, Edward",74,No,"elizabethTaylor.png,,"
999,1975,101,"Driver's Seat, The",Drama,"Bannen, Ian","Taylor, Elizabeth","Griffi, Giuseppe Patroni",72,No,"elizabethTaylor.png,"
1000,1967,109,Reflections in a Golden Eye,Drama,"Brando, Marlon","Taylor, Elizabeth","Huston, John",81,No,"elizabethTaylor.png,,"
1001,1972,110,"X, Y & Zee",Drama,"Caine, Michael","Taylor, Elizabeth","Hutton, Brian G.",87,No,"elizabethTaylor.png,"
1002,1968,109,Secret Ceremony,Drama,"Mitchum, Robert","Taylor, Elizabeth","Losey, Joseph",60,No,"elizabethTaylor.png,,"
1003,1963,243,Cleopatra,Drama,"Burton, Richard","Taylor, Elizabeth","Mankiewicz, Joseph L.",80,No,"elizabethTaylor.png,,"
1004,1992,130,Who's Afraid of Virginia Woolf?,Drama,"Burton, Richard","Taylor, Elizabeth","Nichols, Mike",82,Yes,"elizabethTaylor.png,,"
1005,1977,110,A Little Night Music,Music,"Cariou, Len","Taylor, Elizabeth","Prince, Harold",61,No,"elizabethTaylor.png,,"
1006,1956,201,Giant,Drama,"Hudson, Rock","Taylor, Elizabeth","Stevens, George",61,Yes,"elizabethTaylor.png,,"
1007,1985,94,"Rumor Mill, The",Drama,"Dysart, Richard A.","Taylor, Elizabeth","Trikonis, Gus",62,No,"elizabethTaylor.png,"
1008,1943,90,Lassie Come Home,Drama,"McDowall, Roddy","Taylor, Elizabeth","Wilcox, Fred M",79,No,"elizabethTaylor.png,,"
1009,1931,125,Cimarron,Western,"Dix, Richard","Taylor, Estelle","Ruggles, Wesley",44,Yes,"NicholasCage.png,,"
1010,1992,83,Apache Woman,Western,"Bridges, Lloyd","Taylor, Joan","Corman, Roger",32,No,"NicholasCage.png,,"
1011,1988,101,Mystic Pizza,Comedy,"Moses, William","Taylor, Lili","Petrie, Donald",74,No,"NicholasCage.png,,"
1012,1991,95,Dogfight,Action,"Phoenix, River","Taylor, Lili","Savoca, Nancy",66,No,"NicholasCage.png,,"
1013,1935,234,"Adventures of Rex & Rinty, The",Western,Rex the Wonder Horse,"Taylor, Norma","Beebe, Ford",87,No,"NicholasCage.png,,"
1014,1988,60,Daphnis & Chloe,Music,"Morrow, Carl","Taylor, Victoria","Wimhurst, Jolyon",85,No,"NicholasCage.png,,"
1015,1980,97,Marathon,Comedy,"Newhart, Bob","Taylor-Young, Leigh","Cooper, Jackie",76,No,"NicholasCage.png,,"
1016,1948,127,Fort Apache,Western,"Fonda, Henry","Temple, Shirley","Ford, John",4,No,"johnFord.png,,"
1017,1937,100,Wee Willie Winkie,Drama,"Romero, Cesar","Temple, Shirley","Ford, John",78,No,"johnFord.png,,"
1018,1987,91,Big Shots,Action,"Busker, Ricky","Thayer, Brynn","Mandel, Robert",5,No,"NicholasCage.png,,"
1019,1988,85,Doin' Time on Planet Earth,Comedy,"Strouse, Nocholas","Thompson, Andrea","Matthau, Charles",44,Yes,"NicholasCage.png,,"
1020,1983,91,All the Right Moves,Drama,"Cruise, Tom","Thompson, Lea","Chapman, Michael",65,No,"NicholasCage.png,,"
1021,1987,93,Some Kind of Wonderful,Drama,"Stoltz, Eric","Thompson, Lea","Deutch, Howard",16,No,"NicholasCage.png,,"
1022,1990,87,"All New Tales from the Crypt, A Trilogy",Horror,"Walsh, M. Emmet","Thompson, Lea","Deutch, Howard",33,No,"NicholasCage.png,"
1023,1985,116,Back to the Future,Comedy,"Fox, Michael J.","Thompson, Lea","Zemeckis, Robert",9,No,"NicholasCage.png,,"
1024,1963,80,Winter Light,Drama,"Bj�rnstrand, Gunnar","Thulin, Ingrid","Bergman, Ingmar",2,No,"Bergman.png,,"
1025,1963,95,"Silence, The",Drama,"Malmsten, Birger","Thulin, Ingrid","Bergman, Ingmar",79,No,"Bergman.png,"
1026,1959,100,"Magician, The",Drama,"Sydow, Max von","Thulin, Ingrid","Bergman, Ingmar",3,No,"Bergman.png,"
1027,1961,154,"Four Horsemen of the Apocalypse, The",Drama,"Ford, Glenn","Thulin, Ingrid","Minnelli, Vincente",71,No,"glennFord.png,"
1028,1986,99,Critical Condition,Comedy,"Pryor, Richard","Ticotin, Rachel","Apted, Michael",41,No,"NicholasCage.png,,"
1029,1989,109,Lean on Me,Drama,"Freeman, Morgan","Todd, Beverly","Avildsen, John G.",51,No,"NicholasCage.png,,"
1030,1986,221,On Wings of Eagles,Drama,"Lancaster, Burt","Towers, Constance","McLaglen, Andrew V.",53,No,"burtLancaster.png,,"
1031,1941,94,Texas,Western,"Holden, William","Trevor, Claire","Marshall, George",79,No,"NicholasCage.png,,"
1032,1939,80,Allegheny Uprising,Drama,"Wayne, John","Trevor, Claire","Seiter, William A.",53,No,"johnWayne.png,,"
1033,1940,95,Dark Command,Western,"Wayne, John","Trevor, Claire","Walsh, Raoul",52,No,"johnWayne.png,,"
1034,1986,103,Peggy Sue Got Married,Drama,"Cage, Nicolas","Turner, Kathleen","Coppola, Francis Ford",62,No,"NicholasCage.png,,"
1035,1989,84,"Dear America, Letters Home from Vietnam",War,"De Niro, Robert","Turner, Kathleen","Couturie, Bill",57,No,"NicholasCage.png,"
1036,1985,130,Prizzi's Honor,Comedy,"Nicholson, Jack","Turner, Kathleen","Huston, John",25,Yes,"JackNicholson.png,,"
1037,1983,90,"Man with Two Brains, The",Comedy,"Martin, Steve","Turner, Kathleen","Reiner, Carl",68,No,"NicholasCage.png,"
